id,name,location,city_slug,address,phone,website,rating,pincode,image_url,property_type,active,google_cid,google_review_count,google_summary,gmb_link,hotelzz_link
flores-casa---in-pursuit-of-a-memorable-stay-325625,Flores Casa - in pursuit of a memorable stay,Panaji,panaji,"FRWH+X26 Neelkamal Arcade, Dr Atmaram Borkar Rd, Altinho, Panaji, Goa 403001",,,4.7,403001,,,yes,1581966741306325625,254,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=1581966741306325625,https://hotelzz.in/property.html?id=flores-casa---in-pursuit-of-a-memorable-stay-325625
jeos-river-view-apartment-ribandar-goa---airbnb-644614,"Jeo's River View Apartment, Ribandar, Goa - Airbnb",Panaji,panaji,"7th Floor, Agua (C wing), Karekar Residency Bairo Alto, Fondvem, Ribandar, Panaji, Goa 403006",,,4.8,403006,,,yes,17344150701975644614,320,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=17344150701975644614,https://hotelzz.in/property.html?id=jeos-river-view-apartment-ribandar-goa---airbnb-644614
localvibe-villas-serviced-apartment-bookings-996115,LocalVibe Villas & Serviced apartment Bookings,Panaji,panaji,"201, 301, Shanta Building, 2 nd floor, 18th June Rd, opposite Broadway Book Center, St. Inez, Santa Inez, Panaji, Goa 403001",098607 63952,http://www.localvibe.in/,4.4,403001,,,yes,18202322051435996115,159,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=18202322051435996115,https://hotelzz.in/property.html?id=localvibe-villas-serviced-apartment-bookings-996115
sunset-abode---unit-of-lawande-holiday-homes-244993,Sunset Abode - Unit of Lawande Holiday Homes,Panaji,panaji,"Models Marine castle, Dona Paula, Miramar New Road, near Audi Showroom, Caranzalem, Panaji, Goa 403002",,,4.8,403002,,,yes,12970514901378244993,517,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=12970514901378244993,https://hotelzz.in/property.html?id=sunset-abode---unit-of-lawande-holiday-homes-244993
omi-home-stay--family-friendly-service-apartmentsharing-apar-490518,Omi home stay -FAMILY FRIENDLY SERVICE APARTMENT/SHARING APARTMENT FULLY FURNISHED /Staycations/interns/for short term/,Panaji,panaji,"Rd Number 1, near dempo colledge, Albamar Colony, Miramar, Panaji, Goa 403001",070280 42975,https://www.omistayhome.com/,4.5,403001,,,yes,2177768223350490518,291,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=2177768223350490518,https://hotelzz.in/property.html?id=omi-home-stay--family-friendly-service-apartmentsharing-apar-490518
villa-cleto-guest-house-264615,Villa Cleto Guest House,Panaji,panaji,"Villa Cleto Guest House, Cleona Portais, opposite Farmacia, Mala, Panaji, Goa 403001",,,4.5,403001,,,yes,14827713213747264615,129,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=14827713213747264615,https://hotelzz.in/property.html?id=villa-cleto-guest-house-264615
praia-miramar-057784,Praia Miramar,Panaji,panaji,"Plot 40, behind Hotel Goa International, Tonca, Miramar, Panaji, Goa 403002",094225 93624,http://www.goapams.in/,4.5,403002,,,yes,5441522966635057784,278,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=5441522966635057784,https://hotelzz.in/property.html?id=praia-miramar-057784
dewdrop-homestay-454282,Dewdrop Homestay,Panaji,panaji,"Miramar, Panaji, Goa 403002",098200 61374,,4.5,403002,,,yes,17254867278400454282,289,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=17254867278400454282,https://hotelzz.in/property.html?id=dewdrop-homestay-454282
curly-coelhos-cottage---holiday-villa-by-the-bay-252333,Curly Coelho's Cottage - holiday villa by the bay,Panaji,panaji,"House no. 22, 78-1B, Oddavel Vaddo, behind Police Post, Dona Paula, Panaji, Goa 403004",098231 34471,,4.6,403004,,,yes,8945462277078252333,323,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=8945462277078252333,https://hotelzz.in/property.html?id=curly-coelhos-cottage---holiday-villa-by-the-bay-252333
allys-arty-abode-294560,Ally's Arty Abode,Panaji,panaji,"Flat 8, 2nd floor), Estrocio, Altinho hill, near Electricity department, St. Inez, Electricity Colony, Altinho, Panaji, Goa 403001",,,4.8,403001,,,yes,3267733202632294560,491,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=3267733202632294560,https://hotelzz.in/property.html?id=allys-arty-abode-294560
